"","polviews","race"
"11128","Slightly Conservative","White"
"11129","Moderate","White"
"11130","Moderate","White"
"11131","Moderate","White"
"11132","Extremely Liberal","White"
"11133","Moderate","White"
"11134","Conservative","White"
"11135","Conservative","White"
"11136","Slightly Liberal","White"
"11137","Slightly Liberal","White"
"11138","Slightly Liberal","White"
"11139","Slightly Conservative","White"
"11140","Extremely Liberal","White"
"11141","Conservative","White"
"11142","Moderate","White"
"11143","Moderate","White"
"11144","Slightly Conservative","White"
"11145","Liberal","White"
"11146","Conservative","White"
"11147","Slightly Conservative","Other"
"11148","Liberal","White"
"11149","Slightly Conservative","White"
"11150","Slightly Liberal","White"
"11151","Liberal","White"
"11152","Slightly Conservative","White"
"11153","Slightly Liberal","White"
"11154","Moderate","White"
"11155","Moderate","White"
"11156","Moderate","White"
"11157","Slightly Conservative","White"
"11158","Moderate","White"
"11159","Conservative","White"
"11160","Slightly Liberal","White"
"11161","Moderate","White"
"11162","Extremely Liberal","White"
"11163","Moderate","White"
"11164","Conservative","White"
"11165","Moderate","White"
"11166","Liberal","White"
"11167","Slightly Conservative","White"
"11168","Liberal","White"
"11169","Conservative","White"
"11170","Liberal","White"
"11171","Moderate","White"
"11172","Slightly Conservative","White"
"11173","Slightly Liberal","White"
"11174","Moderate","White"
"11175","Liberal","White"
"11176","Moderate","White"
"11177","Slightly Conservative","White"
"11178","Conservative","White"
"11179","Slightly Liberal","White"
"11180","Liberal","White"
"11181","Moderate","White"
"11182","Conservative","White"
"11183","Slightly Liberal","White"
"11184","Slightly Liberal","White"
"11185","Moderate","White"
"11186","Moderate","White"
"11187","Slightly Liberal","White"
"11188","Slightly Conservative","White"
"11189","Slightly Conservative","White"
"11190","Slightly Conservative","White"
"11191","Moderate","White"
"11193","Moderate","White"
"11194","Liberal","White"
"11195","Slightly Conservative","White"
"11196","Extremely Liberal","White"
"11197","Extrmly Conservative","White"
"11198","Conservative","White"
"11199","Moderate","White"
"11200","Moderate","White"
"11201","Moderate","White"
"11202","Slightly Liberal","White"
"11203","Moderate","White"
"11204","Slightly Conservative","White"
"11205","Moderate","White"
"11206","Moderate","White"
"11207","Slightly Conservative","White"
"11208","Moderate","White"
"11209","Slightly Conservative","White"
"11210","Moderate","White"
"11211","Moderate","White"
"11212","Slightly Liberal","White"
"11213","Slightly Conservative","White"
"11214","Moderate","White"
"11215","Moderate","White"
"11216","Moderate","White"
"11217","Moderate","White"
"11218","Moderate","White"
"11219","Conservative","White"
"11220","Extremely Liberal","White"
"11221","Moderate","White"
"11222","Moderate","White"
"11223","Slightly Liberal","White"
"11224","Moderate","White"
"11225","Moderate","White"
"11226","Slightly Liberal","White"
"11227","Slightly Conservative","White"
"11228","Moderate","Black"
"11229","Moderate","Black"
"11230","Moderate","White"
"11231","Moderate","White"
"11232","Moderate","Black"
"11233","Moderate","White"
"11235","Slightly Liberal","White"
"11236","Conservative","White"
"11238","Moderate","White"
"11239","Slightly Liberal","White"
"11240","Moderate","White"
"11241","Slightly Liberal","White"
"11242","Moderate","White"
"11243","Conservative","White"
"11244","Slightly Conservative","White"
"11245","Moderate","White"
"11246","Conservative","White"
"11247","Moderate","White"
"11248","Liberal","White"
"11249","Moderate","White"
"11250","Moderate","White"
"11251","Liberal","Black"
"11252","Extrmly Conservative","Black"
"11253","Moderate","Black"
"11254","Slightly Conservative","Black"
"11255","Slightly Liberal","Black"
"11256","Extrmly Conservative","Black"
"11257","Moderate","White"
"11258","Slightly Liberal","White"
"11259","Slightly Conservative","White"
"11260","Slightly Conservative","White"
"11261","Extrmly Conservative","White"
"11262","Moderate","White"
"11263","Conservative","White"
"11264","Extrmly Conservative","White"
"11265","Conservative","White"
"11266","Conservative","White"
"11267","Moderate","White"
"11268","Liberal","White"
"11269","Slightly Conservative","White"
"11270","Moderate","White"
"11271","Conservative","White"
"11272","Conservative","White"
"11273","Conservative","White"
"11274","Moderate","White"
"11275","Moderate","White"
"11276","Slightly Liberal","White"
"11277","Moderate","White"
"11279","Slightly Conservative","White"
"11280","Conservative","White"
"11281","Slightly Conservative","White"
"11282","Liberal","White"
"11283","Slightly Conservative","White"
"11284","Slightly Liberal","White"
"11285","Conservative","White"
"11286","Moderate","White"
"11287","Moderate","White"
"11290","Slightly Conservative","White"
"11291","Moderate","White"
"11292","Moderate","White"
"11293","Slightly Liberal","White"
"11294","Moderate","White"
"11295","Moderate","White"
"11296","Moderate","White"
"11297","Slightly Conservative","White"
"11298","Moderate","White"
"11299","Extrmly Conservative","White"
"11300","Slightly Liberal","White"
"11301","Conservative","White"
"11302","Moderate","White"
"11303","Liberal","White"
"11304","Slightly Liberal","White"
"11305","Extremely Liberal","White"
"11306","Moderate","White"
"11307","Conservative","White"
"11309","Liberal","White"
"11310","Moderate","White"
"11311","Liberal","White"
"11312","Moderate","White"
"11313","Moderate","White"
"11314","Slightly Conservative","White"
"11315","Moderate","White"
"11316","Moderate","White"
"11317","Moderate","White"
"11318","Moderate","White"
"11319","Slightly Conservative","White"
"11320","Moderate","White"
"11321","Slightly Conservative","White"
"11322","Moderate","White"
"11323","Moderate","White"
"11324","Moderate","White"
"11325","Conservative","White"
"11326","Moderate","White"
"11327","Moderate","White"
"11328","Liberal","White"
"11329","Slightly Conservative","White"
"11330","Moderate","White"
"11331","Slightly Conservative","White"
"11332","Moderate","White"
"11333","Moderate","White"
"11334","Moderate","White"
"11335","Extrmly Conservative","White"
"11336","Conservative","White"
"11337","Moderate","White"
"11338","Extrmly Conservative","White"
"11339","Moderate","White"
"11340","Conservative","White"
"11341","Moderate","White"
"11342","Moderate","White"
"11343","Slightly Liberal","White"
"11344","Moderate","White"
"11345","Moderate","White"
"11346","Slightly Liberal","White"
"11347","Moderate","White"
"11348","Moderate","White"
"11349","Moderate","White"
"11350","Moderate","White"
"11351","Moderate","White"
"11352","Slightly Liberal","White"
"11353","Conservative","White"
"11354","Conservative","White"
"11355","Liberal","White"
"11356","Slightly Liberal","White"
"11357","Liberal","White"
"11358","Moderate","White"
"11359","Moderate","White"
"11360","Conservative","White"
"11361","Moderate","White"
"11362","Liberal","White"
"11363","Slightly Liberal","White"
"11364","Moderate","White"
"11365","Moderate","Black"
"11366","Slightly Conservative","White"
"11367","Moderate","White"
"11368","Extrmly Conservative","White"
"11369","Moderate","White"
"11371","Liberal","White"
"11372","Moderate","White"
"11373","Slightly Conservative","White"
"11374","Slightly Liberal","White"
"11376","Slightly Liberal","White"
"11377","Moderate","White"
"11378","Slightly Liberal","White"
"11379","Extrmly Conservative","White"
"11380","Moderate","Black"
"11381","Extrmly Conservative","Black"
"11382","Conservative","White"
"11383","Liberal","Black"
"11384","Slightly Liberal","White"
"11385","Moderate","Black"
"11386","Extremely Liberal","Black"
"11387","Moderate","White"
"11388","Slightly Conservative","White"
"11389","Slightly Conservative","White"
"11390","Moderate","White"
"11391","Moderate","White"
"11392","Slightly Conservative","White"
"11393","Extremely Liberal","Black"
"11394","Moderate","Black"
"11395","Moderate","Black"
"11396","Moderate","White"
"11397","Conservative","White"
"11398","Slightly Conservative","White"
"11399","Moderate","White"
"11400","Conservative","White"
"11401","Slightly Conservative","White"
"11402","Moderate","White"
"11403","Slightly Liberal","White"
"11404","Slightly Conservative","White"
"11405","Slightly Liberal","White"
"11406","Liberal","White"
"11407","Conservative","White"
"11408","Moderate","White"
"11410","Moderate","Black"
"11411","Liberal","Black"
"11412","Moderate","Black"
"11413","Liberal","White"
"11414","Slightly Liberal","White"
"11415","Slightly Liberal","White"
"11416","Moderate","White"
"11417","Moderate","White"
"11418","Moderate","White"
"11419","Moderate","White"
"11420","Slightly Conservative","White"
"11421","Moderate","White"
"11422","Moderate","White"
"11423","Moderate","White"
"11424","Moderate","White"
"11425","Slightly Liberal","White"
"11426","Slightly Liberal","White"
"11427","Moderate","White"
"11428","Moderate","White"
"11429","Moderate","White"
"11430","Conservative","White"
"11431","Slightly Conservative","White"
"11432","Liberal","White"
"11434","Slightly Conservative","White"
"11435","Moderate","White"
"11436","Slightly Liberal","White"
"11437","Moderate","White"
"11438","Conservative","White"
"11439","Conservative","White"
"11440","Liberal","White"
"11441","Moderate","White"
"11442","Slightly Liberal","White"
"11443","Conservative","White"
"11444","Conservative","White"
"11445","Conservative","Black"
"11446","Slightly Liberal","Black"
"11447","Moderate","Black"
"11448","Extrmly Conservative","White"
"11449","Slightly Liberal","White"
"11450","Moderate","White"
"11451","Liberal","White"
"11452","Slightly Conservative","White"
"11453","Extrmly Conservative","White"
"11454","Slightly Conservative","White"
"11455","Slightly Conservative","White"
"11456","Slightly Conservative","White"
"11457","Extremely Liberal","White"
"11458","Conservative","White"
"11459","Slightly Conservative","White"
"11460","Liberal","White"
"11461","Slightly Conservative","Other"
"11462","Moderate","White"
"11463","Slightly Conservative","White"
"11464","Moderate","White"
"11465","Moderate","White"
"11466","Liberal","White"
"11467","Moderate","White"
"11468","Moderate","White"
"11469","Slightly Conservative","White"
"11470","Conservative","White"
"11471","Moderate","White"
"11472","Moderate","White"
"11473","Moderate","White"
"11474","Slightly Conservative","Black"
"11475","Moderate","Black"
"11476","Moderate","White"
"11477","Conservative","White"
"11478","Moderate","White"
"11479","Moderate","White"
"11480","Moderate","White"
"11481","Moderate","White"
"11482","Conservative","White"
"11483","Moderate","White"
"11484","Slightly Liberal","White"
"11485","Extremely Liberal","White"
"11486","Slightly Liberal","White"
"11487","Moderate","White"
"11488","Slightly Liberal","White"
"11489","Moderate","White"
"11490","Moderate","White"
"11491","Moderate","White"
"11492","Moderate","White"
"11493","Slightly Liberal","White"
"11494","Moderate","White"
"11495","Moderate","White"
"11496","Moderate","White"
"11497","Moderate","White"
"11498","Moderate","White"
"11499","Slightly Conservative","White"
"11500","Moderate","White"
"11501","Slightly Conservative","White"
"11502","Moderate","White"
"11503","Slightly Conservative","White"
"11504","Moderate","White"
"11505","Liberal","White"
"11506","Slightly Liberal","White"
"11507","Slightly Liberal","White"
"11508","Liberal","White"
"11509","Moderate","White"
"11510","Moderate","White"
"11511","Slightly Conservative","White"
"11512","Moderate","White"
"11513","Moderate","White"
"11514","Moderate","White"
"11515","Slightly Conservative","White"
"11516","Moderate","White"
"11517","Slightly Liberal","White"
"11518","Slightly Conservative","White"
"11519","Moderate","White"
"11520","Slightly Conservative","White"
"11521","Moderate","White"
"11522","Moderate","White"
"11523","Slightly Liberal","White"
"11525","Moderate","White"
"11526","Liberal","White"
"11527","Slightly Conservative","White"
"11528","Moderate","White"
"11529","Slightly Conservative","White"
"11530","Moderate","White"
"11531","Slightly Liberal","White"
"11532","Moderate","White"
"11533","Moderate","White"
"11534","Liberal","White"
"11535","Slightly Conservative","White"
"11536","Liberal","White"
"11537","Slightly Conservative","Other"
"11538","Moderate","White"
"11539","Extremely Liberal","White"
"11540","Moderate","White"
"11541","Slightly Conservative","White"
"11542","Conservative","White"
"11543","Slightly Liberal","White"
"11544","Slightly Conservative","White"
"11545","Moderate","Black"
"11546","Moderate","Black"
"11547","Slightly Liberal","White"
"11548","Liberal","White"
"11550","Moderate","White"
"11551","Moderate","White"
"11552","Slightly Conservative","White"
"11553","Slightly Conservative","White"
"11554","Moderate","White"
"11555","Moderate","White"
"11556","Slightly Liberal","White"
"11557","Moderate","White"
"11558","Slightly Conservative","White"
"11559","Moderate","White"
"11560","Slightly Liberal","White"
"11561","Slightly Liberal","White"
"11562","Slightly Conservative","White"
"11563","Slightly Liberal","White"
"11564","Moderate","White"
"11565","Moderate","White"
"11566","Moderate","White"
"11567","Moderate","White"
"11568","Liberal","Other"
"11569","Slightly Liberal","White"
"11570","Conservative","White"
"11571","Slightly Conservative","White"
"11572","Slightly Conservative","White"
"11573","Slightly Conservative","White"
"11574","Moderate","White"
"11575","Moderate","White"
"11576","Moderate","White"
"11577","Slightly Liberal","White"
"11578","Slightly Liberal","White"
"11579","Liberal","White"
"11580","Moderate","White"
"11581","Moderate","White"
"11582","Conservative","Black"
"11583","Moderate","Black"
"11585","Slightly Conservative","White"
"11586","Slightly Conservative","White"
"11587","Slightly Liberal","White"
"11588","Moderate","White"
"11589","Moderate","White"
"11590","Liberal","White"
"11591","Moderate","White"
"11592","Slightly Conservative","White"
"11593","Moderate","White"
"11594","Moderate","White"
"11595","Slightly Conservative","White"
"11596","Moderate","White"
"11597","Slightly Liberal","White"
"11598","Moderate","White"
"11599","Slightly Conservative","White"
"11600","Conservative","White"
"11601","Slightly Liberal","White"
"11602","Slightly Conservative","White"
"11603","Moderate","White"
"11604","Slightly Conservative","White"
"11605","Slightly Conservative","White"
"11606","Moderate","White"
"11607","Moderate","White"
"11608","Moderate","White"
"11609","Slightly Conservative","White"
"11610","Conservative","White"
"11611","Slightly Conservative","White"
"11612","Moderate","White"
"11613","Slightly Conservative","White"
"11614","Slightly Conservative","White"
"11615","Conservative","White"
"11616","Moderate","White"
"11617","Slightly Liberal","White"
"11618","Moderate","White"
"11619","Slightly Conservative","White"
"11620","Slightly Conservative","White"
"11621","Conservative","White"
"11622","Moderate","White"
"11623","Slightly Conservative","White"
"11624","Moderate","White"
"11625","Slightly Conservative","White"
"11626","Moderate","White"
"11627","Moderate","White"
"11628","Moderate","White"
"11629","Moderate","White"
"11630","Moderate","White"
"11631","Moderate","White"
"11632","Slightly Liberal","White"
"11633","Moderate","Black"
"11634","Moderate","White"
"11635","Moderate","White"
"11636","Extrmly Conservative","White"
"11637","Moderate","White"
"11638","Slightly Conservative","White"
"11639","Slightly Liberal","Other"
"11640","Slightly Liberal","White"
"11641","Moderate","White"
"11642","Slightly Conservative","White"
"11643","Slightly Conservative","White"
"11644","Slightly Liberal","White"
"11645","Slightly Conservative","White"
"11646","Slightly Conservative","White"
"11647","Conservative","White"
"11648","Liberal","White"
"11649","Slightly Liberal","White"
"11650","Slightly Conservative","White"
"11651","Conservative","White"
"11652","Moderate","Black"
"11653","Liberal","White"
"11654","Conservative","White"
"11655","Moderate","White"
"11656","Slightly Conservative","White"
"11657","Moderate","Black"
"11658","Moderate","Black"
"11659","Moderate","Black"
"11660","Liberal","Black"
"11661","Conservative","Black"
"11662","Extrmly Conservative","White"
"11663","Slightly Liberal","White"
"11664","Moderate","White"
"11665","Slightly Conservative","White"
"11666","Slightly Liberal","White"
"11667","Slightly Liberal","White"
"11668","Slightly Liberal","White"
"11669","Moderate","White"
"11670","Liberal","White"
"11671","Moderate","White"
"11672","Moderate","White"
"11673","Liberal","White"
"11674","Moderate","White"
"11675","Liberal","White"
"11676","Moderate","White"
"11677","Moderate","Black"
"11678","Slightly Liberal","Black"
"11679","Slightly Conservative","White"
"11680","Moderate","White"
"11681","Conservative","White"
"11682","Conservative","White"
"11683","Moderate","White"
"11684","Conservative","White"
"11685","Conservative","White"
"11686","Moderate","White"
"11687","Extrmly Conservative","White"
"11688","Moderate","White"
"11689","Slightly Liberal","White"
"11690","Extremely Liberal","White"
"11691","Slightly Liberal","White"
"11692","Slightly Conservative","White"
"11693","Slightly Conservative","White"
"11694","Slightly Conservative","White"
"11695","Conservative","White"
"11696","Liberal","White"
"11697","Conservative","White"
"11698","Extrmly Conservative","White"
"11699","Moderate","White"
"11700","Slightly Conservative","White"
"11701","Slightly Liberal","White"
"11702","Extrmly Conservative","White"
"11703","Moderate","White"
"11704","Slightly Conservative","White"
"11705","Moderate","White"
"11706","Slightly Liberal","White"
"11707","Liberal","White"
"11708","Slightly Conservative","White"
"11709","Moderate","White"
"11710","Moderate","White"
"11711","Slightly Liberal","White"
"11712","Slightly Liberal","White"
"11713","Moderate","White"
"11714","Extrmly Conservative","White"
"11715","Extrmly Conservative","White"
"11716","Conservative","White"
"11717","Slightly Liberal","White"
"11718","Slightly Liberal","White"
"11719","Conservative","White"
"11720","Moderate","White"
"11721","Moderate","White"
"11722","Extrmly Conservative","White"
"11723","Moderate","White"
"11724","Moderate","White"
"11725","Slightly Conservative","White"
"11726","Slightly Liberal","White"
"11727","Moderate","White"
"11728","Slightly Liberal","White"
"11729","Slightly Liberal","White"
"11730","Slightly Liberal","White"
"11731","Moderate","White"
"11732","Moderate","White"
"11733","Extremely Liberal","White"
"11734","Extrmly Conservative","White"
"11735","Conservative","White"
"11736","Extremely Liberal","Black"
"11737","Moderate","White"
"11738","Moderate","White"
"11739","Liberal","White"
"11740","Conservative","White"
"11741","Slightly Conservative","White"
"11742","Moderate","White"
"11743","Liberal","White"
"11744","Moderate","White"
"11745","Moderate","White"
"11746","Moderate","Black"
"11747","Slightly Conservative","White"
"11748","Slightly Conservative","White"
"11749","Slightly Liberal","White"
"11750","Conservative","White"
"11751","Liberal","White"
"11752","Moderate","White"
"11753","Moderate","White"
"11754","Slightly Liberal","White"
"11755","Moderate","White"
"11756","Extrmly Conservative","White"
"11757","Slightly Conservative","Black"
"11758","Moderate","Black"
"11759","Extrmly Conservative","Black"
"11760","Extremely Liberal","Black"
"11761","Liberal","Black"
"11762","Extrmly Conservative","Black"
"11763","Extrmly Conservative","Black"
"11764","Slightly Liberal","White"
"11765","Moderate","White"
"11766","Conservative","Black"
"11767","Moderate","White"
"11768","Slightly Conservative","White"
"11769","Conservative","Black"
"11770","Conservative","White"
"11771","Slightly Liberal","White"
"11772","Slightly Liberal","White"
"11773","Conservative","White"
"11774","Slightly Liberal","White"
"11775","Moderate","White"
"11776","Conservative","White"
"11777","Moderate","White"
"11778","Conservative","White"
"11779","Liberal","White"
"11780","Slightly Conservative","White"
"11781","Slightly Conservative","White"
"11782","Slightly Conservative","White"
"11783","Moderate","White"
"11784","Conservative","White"
"11785","Slightly Liberal","White"
"11786","Slightly Conservative","White"
"11787","Slightly Liberal","White"
"11788","Slightly Conservative","White"
"11789","Slightly Conservative","White"
"11790","Moderate","White"
"11791","Conservative","White"
"11793","Moderate","White"
"11794","Slightly Conservative","White"
"11795","Slightly Conservative","Black"
"11796","Slightly Conservative","White"
"11797","Moderate","White"
"11798","Conservative","White"
"11799","Slightly Conservative","White"
"11800","Conservative","White"
"11801","Moderate","White"
"11802","Conservative","White"
"11803","Liberal","White"
"11804","Slightly Conservative","White"
"11805","Extremely Liberal","White"
"11806","Liberal","White"
"11807","Moderate","White"
"11808","Slightly Liberal","White"
"11809","Moderate","White"
"11810","Slightly Liberal","White"
"11811","Slightly Conservative","White"
"11812","Liberal","White"
"11813","Slightly Conservative","White"
"11814","Slightly Conservative","White"
"11815","Slightly Liberal","White"
"11816","Moderate","White"
"11817","Moderate","White"
"11818","Slightly Conservative","White"
"11819","Slightly Liberal","White"
"11820","Slightly Liberal","White"
"11821","Moderate","White"
"11822","Conservative","White"
"11823","Moderate","White"
"11824","Conservative","White"
"11825","Moderate","White"
"11826","Extremely Liberal","White"
"11827","Conservative","Black"
"11828","Moderate","White"
"11829","Slightly Conservative","White"
"11830","Slightly Liberal","Black"
"11831","Conservative","White"
"11832","Slightly Conservative","White"
"11833","Moderate","White"
"11834","Liberal","White"
"11835","Conservative","White"
"11836","Slightly Liberal","White"
"11837","Liberal","Black"
"11838","Slightly Conservative","White"
"11839","Liberal","Black"
"11840","Conservative","White"
"11841","Slightly Conservative","White"
"11842","Liberal","White"
"11843","Slightly Conservative","White"
"11844","Moderate","White"
"11845","Slightly Liberal","White"
"11846","Conservative","White"
"11847","Slightly Liberal","White"
"11848","Conservative","White"
"11849","Moderate","White"
"11850","Slightly Conservative","White"
"11851","Liberal","White"
"11853","Slightly Conservative","Black"
"11854","Liberal","White"
"11855","Slightly Conservative","White"
"11856","Slightly Liberal","White"
"11857","Moderate","Black"
"11858","Moderate","White"
"11859","Moderate","White"
"11860","Slightly Liberal","White"
"11861","Slightly Conservative","White"
"11862","Slightly Conservative","White"
"11863","Slightly Liberal","White"
"11864","Liberal","White"
"11865","Conservative","White"
"11866","Slightly Liberal","White"
"11867","Liberal","White"
"11868","Moderate","White"
"11869","Conservative","White"
"11870","Liberal","White"
"11871","Slightly Conservative","White"
"11872","Liberal","White"
"11873","Slightly Liberal","White"
"11874","Slightly Liberal","White"
"11875","Moderate","White"
"11876","Liberal","White"
"11877","Moderate","White"
"11878","Moderate","White"
"11879","Conservative","Black"
"11880","Moderate","White"
"11881","Moderate","White"
"11882","Moderate","Black"
"11883","Slightly Conservative","White"
"11884","Moderate","White"
"11885","Liberal","White"
"11886","Moderate","White"
"11887","Liberal","White"
"11888","Slightly Liberal","White"
"11889","Liberal","White"
"11890","Conservative","White"
"11891","Moderate","White"
"11892","Moderate","White"
"11893","Slightly Liberal","White"
"11894","Moderate","White"
"11895","Slightly Liberal","White"
"11896","Slightly Conservative","White"
"11897","Conservative","White"
"11898","Moderate","White"
"11899","Moderate","White"
"11900","Slightly Conservative","White"
"11901","Moderate","White"
"11902","Moderate","White"
"11903","Conservative","White"
"11904","Moderate","White"
"11905","Moderate","White"
"11906","Extremely Liberal","White"
"11907","Conservative","Other"
"11908","Moderate","White"
"11909","Moderate","White"
"11910","Moderate","White"
"11911","Conservative","White"
"11912","Moderate","White"
"11913","Moderate","White"
"11915","Moderate","White"
"11916","Moderate","White"
"11917","Slightly Conservative","White"
"11918","Liberal","White"
"11919","Slightly Liberal","White"
"11920","Slightly Conservative","White"
"11921","Liberal","White"
"11922","Conservative","White"
"11923","Moderate","White"
"11924","Moderate","White"
"11925","Slightly Liberal","White"
"11926","Moderate","White"
"11927","Moderate","White"
"11928","Moderate","White"
"11929","Slightly Conservative","White"
"11930","Moderate","White"
"11931","Moderate","White"
"11932","Moderate","White"
"11933","Moderate","White"
"11934","Moderate","White"
"11935","Liberal","White"
"11936","Slightly Conservative","White"
"11937","Liberal","White"
"11938","Slightly Conservative","White"
"11940","Moderate","White"
"11941","Moderate","White"
"11942","Slightly Liberal","White"
"11943","Slightly Liberal","White"
"11944","Moderate","White"
"11946","Moderate","White"
"11947","Moderate","White"
"11949","Moderate","White"
"11950","Moderate","White"
"11951","Moderate","White"
"11953","Moderate","White"
"11954","Moderate","White"
"11955","Slightly Liberal","White"
"11956","Moderate","White"
"11957","Moderate","White"
"11958","Moderate","White"
"11959","Moderate","White"
"11960","Slightly Conservative","White"
"11961","Moderate","White"
"11962","Moderate","White"
"11963","Slightly Liberal","White"
"11964","Moderate","White"
"11965","Slightly Conservative","White"
"11966","Slightly Conservative","White"
"11967","Moderate","White"
"11968","Slightly Conservative","White"
"11969","Slightly Conservative","White"
"11970","Slightly Conservative","White"
"11971","Moderate","White"
"11972","Moderate","White"
"11973","Conservative","White"
"11974","Moderate","White"
"11975","Extrmly Conservative","White"
"11976","Slightly Liberal","White"
"11977","Slightly Liberal","White"
"11978","Moderate","White"
"11979","Moderate","White"
"11980","Moderate","White"
"11981","Slightly Conservative","White"
"11982","Moderate","White"
"11983","Slightly Conservative","White"
"11984","Slightly Conservative","White"
"11985","Conservative","White"
"11986","Liberal","White"
"11987","Moderate","White"
"11988","Slightly Conservative","White"
"11989","Slightly Conservative","White"
"11990","Conservative","White"
"11991","Moderate","White"
"11992","Slightly Liberal","Black"
"11993","Slightly Conservative","White"
"11994","Conservative","White"
"11995","Moderate","White"
"11997","Moderate","White"
"11998","Moderate","White"
"11999","Moderate","White"
"12000","Slightly Liberal","White"
"12003","Slightly Liberal","Black"
"12004","Conservative","Black"
"12005","Liberal","Black"
"12006","Extremely Liberal","Black"
"12007","Extremely Liberal","Black"
"12008","Moderate","Black"
"12010","Conservative","White"
"12011","Moderate","White"
"12012","Slightly Conservative","White"
"12013","Liberal","White"
"12014","Conservative","White"
"12015","Moderate","White"
"12017","Moderate","White"
"12018","Liberal","White"
"12019","Slightly Conservative","White"
"12020","Moderate","White"
"12021","Slightly Liberal","White"
"12022","Liberal","White"
"12023","Moderate","White"
"12024","Moderate","White"
"12025","Moderate","White"
"12026","Moderate","White"
"12027","Liberal","White"
"12028","Slightly Conservative","White"
"12029","Slightly Conservative","White"
"12030","Slightly Conservative","White"
"12031","Liberal","White"
"12032","Slightly Liberal","White"
"12033","Slightly Conservative","White"
"12034","Moderate","White"
"12035","Moderate","White"
"12037","Liberal","White"
"12038","Moderate","White"
"12039","Moderate","White"
"12040","Moderate","White"
"12041","Moderate","White"
"12042","Conservative","White"
"12043","Moderate","White"
"12044","Conservative","White"
"12045","Moderate","White"
"12046","Conservative","White"
"12047","Moderate","White"
"12048","Moderate","White"
"12049","Slightly Conservative","White"
"12050","Moderate","White"
"12051","Moderate","White"
"12052","Conservative","White"
"12053","Extrmly Conservative","White"
"12054","Slightly Conservative","White"
"12055","Extrmly Conservative","White"
"12056","Extrmly Conservative","White"
"12057","Slightly Liberal","White"
"12058","Moderate","White"
"12059","Moderate","White"
"12060","Moderate","White"
"12061","Conservative","White"
"12062","Slightly Liberal","White"
"12063","Conservative","White"
"12064","Moderate","White"
"12065","Liberal","White"
"12066","Slightly Conservative","White"
"12067","Conservative","White"
"12068","Extrmly Conservative","White"
"12069","Extremely Liberal","White"
"12070","Slightly Conservative","White"
"12071","Moderate","White"
"12072","Moderate","White"
"12073","Slightly Conservative","White"
"12074","Moderate","White"
"12075","Slightly Conservative","White"
"12076","Moderate","White"
"12077","Moderate","White"
"12078","Moderate","White"
"12079","Moderate","White"
"12080","Moderate","White"
"12081","Slightly Liberal","White"
"12082","Slightly Conservative","White"
"12083","Slightly Conservative","White"
"12084","Liberal","White"
"12086","Liberal","White"
"12087","Moderate","White"
"12088","Moderate","White"
"12089","Moderate","Black"
"12090","Moderate","White"
"12091","Slightly Conservative","White"
"12092","Moderate","White"
"12093","Slightly Liberal","White"
"12094","Moderate","White"
"12095","Moderate","White"
"12096","Liberal","Black"
"12097","Moderate","White"
"12100","Liberal","White"
"12101","Conservative","White"
"12102","Moderate","White"
"12103","Slightly Conservative","Black"
"12104","Conservative","White"
"12105","Slightly Conservative","White"
"12107","Slightly Conservative","White"
"12108","Conservative","White"
"12109","Conservative","White"
"12110","Extrmly Conservative","White"
"12111","Conservative","White"
"12112","Moderate","White"
"12113","Moderate","White"
"12114","Extrmly Conservative","White"
"12115","Slightly Conservative","Black"
"12116","Conservative","White"
"12117","Moderate","White"
"12118","Conservative","White"
"12119","Conservative","White"
"12120","Slightly Liberal","White"
"12121","Slightly Liberal","White"
"12122","Conservative","White"
"12123","Moderate","White"
"12124","Slightly Liberal","White"
"12125","Extrmly Conservative","White"
"12126","Moderate","White"
"12127","Liberal","White"
"12128","Conservative","White"
"12129","Moderate","White"
"12130","Moderate","White"
"12131","Moderate","White"
"12132","Slightly Conservative","White"
"12133","Slightly Conservative","White"
"12134","Conservative","White"
"12135","Moderate","White"
"12136","Moderate","White"
"12137","Slightly Conservative","White"
"12138","Moderate","White"
"12139","Moderate","White"
"12140","Moderate","White"
"12141","Slightly Liberal","White"
"12142","Conservative","White"
"12143","Moderate","White"
"12144","Conservative","White"
"12145","Conservative","White"
"12146","Moderate","White"
"12147","Slightly Liberal","White"
"12148","Moderate","White"
"12149","Moderate","White"
"12150","Slightly Conservative","White"
"12151","Slightly Liberal","White"
"12152","Moderate","White"
"12153","Moderate","White"
"12154","Slightly Liberal","White"
"12155","Moderate","White"
"12156","Slightly Liberal","White"
"12157","Liberal","White"
"12158","Moderate","White"
"12159","Slightly Liberal","White"
"12160","Moderate","White"
"12161","Moderate","White"
"12162","Liberal","White"
"12163","Slightly Liberal","White"
"12164","Slightly Liberal","Black"
"12165","Extrmly Conservative","White"
"12166","Slightly Liberal","White"
"12167","Slightly Liberal","White"
"12168","Moderate","Black"
"12170","Slightly Liberal","White"
"12171","Moderate","White"
"12172","Liberal","Black"
"12173","Slightly Conservative","White"
"12174","Slightly Conservative","White"
"12175","Liberal","White"
"12176","Moderate","Other"
"12177","Slightly Liberal","Other"
"12178","Conservative","White"
"12179","Extremely Liberal","White"
"12180","Liberal","White"
"12181","Moderate","White"
"12182","Liberal","White"
"12183","Moderate","White"
"12184","Moderate","Other"
"12185","Extremely Liberal","White"
"12186","Moderate","White"
